Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
HALF ROUND FILE,00-50003197,,No.,Inventory Item,Cost of Materials
HAMMER 50 GRAM,00-50003178,,No.,Inventory Item,Cost of Materials
HAND PLANNER (RANDA),00-50003195,,No.,Inventory Item,Cost of Materials
HAND SANDER,00-50003452,,No.,Inventory Item,Cost of Materials
HAND SAW,00-50003182,,No.,Inventory Item,Cost of Materials
HYDRAULIC PALLET TRUCK - 3 TON,00-50002775,,Nos.,Inventory Item,Cost of Materials
JIGSAW BLADE-A85628,00-50002851,,Pkt.,Inventory Item,Cost of Materials
KNIFE BLADE WITH HANDLE,00-50003181,,No.,Inventory Item,Cost of Materials
LINE DORI,00-50003186,,No.,Inventory Item,Cost of Materials
MACHINE BELT 535,00-50002918,,No.,Inventory Item,Cost of Materials
MACHINE BELT 560,00-50002917,,No.,Inventory Item,Cost of Materials
MACHINE BELT 575,00-50002919,,No.,Inventory Item,Cost of Materials
MACHINE BELT 660J / 260J,00-50004028,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - BALL BEARING 6003 DDW3620 / 904,00-50002992,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - CARBON BUSH 153,00-50002996,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 12-211275-8,00-50002993,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 14-510159-0 220V,00-50002994,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 325695-1,00-50003989,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 517844-6,00-50003990,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 638652-3 LASER SWITCH UNIT,00-50003991,,No.,Inventory Item,Cost of Materials
MAKITA LS 1216 SAW - PART NO: 69-227550-2,00-50002995,,No.,Inventory Item,Cost of Materials
MAKITA SANDING MACHINE MODEL-BO4900,00-50003667,,Nos.,Inventory Item,
MAKITA TIGHTER DRILL - 28V,00-50002984,,No.,Inventory Item,Cost of Materials
MANUAL STRAPPING TOOL15MM,00-50002981,,No.,Inventory Item,Cost of Materials
MELAMINE CUTTER BLADE: JZX110.30 2022.09,00-50002965,,No.,Inventory Item,Cost of Materials
MELAMINE CUTTER BLADE: JZX200.60 2022.11,00-50002964,,No.,Inventory Item,Cost of Materials
MOULDER PROFILE BLADE - F36,00-50002977,,No.,Inventory Item,Cost of Materials
MOULDER PROFILE BLADE - F502,00-50002978,,No.,Inventory Item,Cost of Materials
NAIL CATCHER,00-50003179,,No.,Inventory Item,Cost of Materials
"NIDDLE FILE 12""",00-50003176,,No.,Inventory Item,Cost of Materials
NOSE PLIER,00-50003070,,No.,Inventory Item,Cost of Materials
OLAMBA,00-50003177,,No.,Inventory Item,Cost of Materials
OPEN END SPANNER SET,00-50003087,,Set,Inventory Item,Cost of Materials
PART NO 152600-3 - JIGSAW MACHINE MAKITA 4329,00-50003915,,No.,Inventory Item,Cost of Materials
PART NO 153260-4 - JIGSAW MACHINE MAKITA 4329,00-50003916,,No.,Inventory Item,Cost of Materials
PART NO 153361-8 - SANDING MACHINE MAKITA BO-4900,00-50003244,,No.,Inventory Item,Cost of Materials
PART NO 153362-6 - SANDING MACHINE MAKITA BO-4900,00-50003245,,No.,Inventory Item,Cost of Materials
PART NO 158392-2 - JIGSAW MACHINE MAKITA 4329,00-50003911,,No.,Inventory Item,Cost of Materials
PART NO 195010-1 - TRIMMER MACHINE MAKITA RT0702C,00-50003925,,No.,Inventory Item,Cost of Materials
PART NO 210301 - TRIMMER MACHINE MAKITA RT0702C,00-50003927,,No.,Inventory Item,Cost of Materials
PART NO 253874-0 - SANDING MACHINE MAKITA BO-4900,00-50003242,,No.,Inventory Item,Cost of Materials
PART NO 253906 - TRIMMER MACHINE MAKITA RT0702C,00-50003928,,No.,Inventory Item,Cost of Materials
PART NO 256117-9 - JIGSAW MACHINE MAKITA 4329,00-50003912,,No.,Inventory Item,Cost of Materials
PART NO 257659-6 - SANDING MACHINE MAKITA BO-4900,00-50003243,,No.,Inventory Item,Cost of Materials
PART NO 257683-9 - JIGSAW MACHINE MAKITA 4329,00-50003917,,No.,Inventory Item,Cost of Materials
PART NO 266042-6 - SANDING MACHINE MAKITA BO-4900,00-50003241,,No.,Inventory Item,Cost of Materials
PART NO 266177-3 - JIGSAW MACHINE MAKITA 4329,00-50003921,,No.,Inventory Item,Cost of Materials
PART NO 313082-6 - JIGSAW MACHINE MAKITA 4329,00-50003919,,No.,Inventory Item,Cost of Materials
PART NO 313140-8 - JIGSAW MACHINE MAKITA 4329,00-50003922,,No.,Inventory Item,Cost of Materials
PART NO 317796-9 - JIGSAW MACHINE MAKITA 4329,00-50003913,,No.,Inventory Item,Cost of Materials
PART NO 344613-0 - JIGSAW MACHINE MAKITA 4329,00-50003918,,No.,Inventory Item,Cost of Materials
PART NO 345441-6 - JIGSAW MACHINE MAKITA 4329,00-50003914,,No.,Inventory Item,Cost of Materials
PART NO 3601FA00F1 - TRIMMER MACHINE BOSCH GFK550,00-50003929,,No.,Inventory Item,Cost of Materials
PART NO 620L08-6-1 X 340 CONTROLLER - ROUTER MACHINE MAKITA DRT.50,00-50003982,,No.,Inventory Item,Cost of Materials
PART NO 643550-8 - TRIMMER MACHINE MAKITA RT0702C,00-50003924,,No.,Inventory Item,Cost of Materials
PART NO 922107-1 - JIGSAW MACHINE MAKITA 4329,00-50003923,,No.,Inventory Item,Cost of Materials
PART NO 961002-0 - JIGSAW MACHINE MAKITA 4329,00-50003920,,No.,Inventory Item,Cost of Materials
PART NO 961057-5 - TRIMMER MACHINE MAKITA RT0702C,00-50003926,,No.,Inventory Item,Cost of Materials
"PEDESTAL FAN 18""",00-50002970,,No.,Inventory Item,Cost of Materials
PNEUMATIC AIRLESS SPRAY PAINT MACHINE K99301,00-50002671,,No.,Inventory Item,Cost of Materials
PUTTY SCRAPPER,00-50003616,,Box,Inventory Item,Cost of Materials
"RABBETING CUTTER HEAD 125X60X40, Z-4+4 - 2090.125.060 B40",00-50002972,,No.,Inventory Item,Cost of Materials
"RIGHT ANGLE 12""",00-50003185,,No.,Inventory Item,Cost of Materials
ROTARY HAMMER DRILL HR2630 - MAKITA,00-50003858,,No.,Inventory Item,Cost of Materials
ROUTER BIT 08MM - TOP BEARING,00-50003513,,No.,Inventory Item,Cost of Materials
ROUTER BIT 10MM - BOTTOM BEARING,00-50002854,,No.,Inventory Item,Cost of Materials
ROUTER BIT 10MM - TOP BEARING,00-50002855,,No.,Inventory Item,Cost of Materials
ROUTER BIT 15MM - ARDEN - 152615B,00-50003994,,No.,Inventory Item,Cost of Materials
ROUTER BIT 18MM DIA ,00-50003514,,No.,Inventory Item,Cost of Materials
ROUTER BIT 20MM - MAKITA - 13742,00-50003993,,No.,Inventory Item,Cost of Materials
ROUTER BIT 3MM - MAKITA - PND-12136,00-50003251,,No.,Inventory Item,Cost of Materials
ROUTER BIT 6MM - BOTTOM BEARING,00-50002853,,No.,Inventory Item,Cost of Materials
ROUTER BIT 6MM DIA ,00-50002852,,No.,Inventory Item,Cost of Materials
ROUTER FC - RP 2300 - PART NO: 158973-2,00-50002989,,No.,Inventory Item,Cost of Materials
ROUTER FC - RP 2300 - PART NO: 450951-1,00-50002990,,No.,Inventory Item,Cost of Materials
ROUTER FC - RP 2300 - PART NO: 517808-0,00-50002991,,No.,Inventory Item,Cost of Materials
ROUTER MACHINE BIG - RP2300FC,00-50002681,,No.,Inventory Item,Cost of Materials
ROUTER MACHINE RP0900 - MAKITA,00-50003856,,No.,Inventory Item,Cost of Materials
ROUTER MACHINE SMALL - 3709 ,00-50002680,,No.,Inventory Item,Cost of Materials
SCREW DRIVER (MINUS / PLUS),00-50003194,,No.,Inventory Item,Cost of Materials
SEWING MACHINE - JUKI DDL 8100E,00-50003872,,No.,Inventory Item,Cost of Materials
SHARPENING STONE,00-50003184,,No.,Inventory Item,Cost of Materials
SIDE CUTTER PLIER,00-50003066,,No.,Inventory Item,Cost of Materials
SILICONE GUN,00-50003199,,Nos.,Inventory Item,Cost of Materials
SLIDE COMPOUND MAKITA-LS1018LN,00-50003857,,No.,Inventory Item,Cost of Materials
"SOCKET SET 3/8"" 40PCS",00-50002980,,Set,Inventory Item,
SOLDERING IRON,00-50002985,,Set,Inventory Item,Cost of Materials
"SPILIT LEVEL 12""",00-50003180,,No.,Inventory Item,Cost of Materials
SQUARE SCRAPER WITH PLASTIC HANDLE,00-50002770,,Set,Inventory Item,Cost of Materials
STAR BIT DOUBLE ENDED 150MM,00-50002850,,Pkt.,Inventory Item,Cost of Materials
STAR BIT DOUBLE ENDED 50MM,00-50002848,,Pkt.,Inventory Item,Cost of Materials
STAR BIT DOUBLE ENDED 80MM,00-50002849,,Pkt.,Inventory Item,Cost of Materials
"TCT PANEL SIZING SAW BLADES 355X4.4X3.2X65+4, Z-72, TCG 282.072.14J2",00-50002975,,No.,Inventory Item,Cost of Materials
TCT SCORING SAW BLADE 200X4.3- 288.200.36J,00-50002976,,No.,Inventory Item,Cost of Materials
TCT SCORING SAW BLADE 288.120.24H,00-50003591,,No.,Inventory Item,Cost of Materials
TOOL BOX - FULL SET,00-50002983,,Set,Inventory Item,Cost of Materials
TRIMMER 3700 B 6MM - PART NO: 181021-2 CARBON BUSH CB-51,00-50002998,,No.,Inventory Item,Cost of Materials
TRIMMER 3700 B 6MM - PART NO: 511698-3 AREMATURE 220V,00-50002997,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 10MM,00-50003187,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 12MM,00-50003188,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 18MM,00-50003189,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 20MM,00-50003190,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 25MM,00-50003191,,No.,Inventory Item,Cost of Materials
TRISHUL BIT 30MM,00-50003192,,No.,Inventory Item,Cost of Materials
"TROLLEY WHEEL 4""",00-50002966,,Nos.,Inventory Item,Cost of Materials
U STAPLER GUN,00-50003152,,No.,Inventory Item,Cost of Materials
UCF 208/H HOUSING BEARING,00-50003963,,No.,Inventory Item,Cost of Materials
VACCUM CLEANER - HEAVY DUTY,00-50003281,,No.,Inventory Item,Cost of Materials
"WALL BRACKET FAN 24""",00-50002969,,No.,Inventory Item,Cost of Materials
"WALL PAINT SCRAPPER 3"" - KNIFE TYPE",00-50003526,,No.,Inventory Item,Cost of Materials
WINDOW SCRAPPER 0.28 - 170MM STANLEY,00-50003525,,No.,Inventory Item,Cost of Materials
WIRE CUTTER KNIFE,00-50003068,,No.,Inventory Item,Cost of Materials
WOODEN BISCUIT JOINT MACHINE,00-50003140,,Set,Inventory Item,Cost of Materials
Uniform,00-00000070,,,,
FORMAL SHIRT WITH EBROIDERY- BLACK,00-50002700,,Nos.,Inventory Item,
FORMAL SHIRT WITH EBROIDERY- NAVY BLUE,00-50002698,,Nos.,Inventory Item,
FORMAL SHIRT WITH EBROIDERY- WHITE,00-50002699,,Nos.,Inventory Item,
POLO T-SHIRT BLACK - SIZE: L,00-50003567,,Nos.,Inventory Item,
POLO T-SHIRT BLUE - SIZE: L,00-50003498,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT BLUE - SIZE: M,00-50003497,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT BLUE - SIZE: XXL,00-50003499,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT DARK GREY,00-50003386,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT DARK GREY - SIZE: L,00-50003490,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT DARK GREY - SIZE: M,00-50003489,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT DARK GREY - SIZE: XL,00-50003491,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT DARK GREY - SIZE: XXL,00-50003492,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT LIGHT GREY - SIZE: L,00-50003479,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT LIGHT GREY - SIZE: M,00-50003478,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT LIGHT GREY - SIZE: XL,00-50003480,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT LIGHT GREY - SIZE: XXL,00-50003481,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT NAVY BLUE,00-50003387,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT NAVY BLUE - SIZE: L,00-50003483,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT NAVY BLUE - SIZE: M,00-50003482,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT NAVY BLUE - SIZE: XL,00-50003484,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT NAVY BLUE - SIZE: XXL,00-50003485,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT RED - SIZE: L,00-50003494,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT RED - SIZE: M,00-50003493,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT RED - SIZE: XL,00-50003495,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT RED - SIZE: XXL,00-50003496,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT WHITE,00-50002697,,Nos.,Inventory Item,
POLO T-SHIRT WHITE - SIZE: L,00-50003486,,Nos.,Inventory Item,
POLO T-SHIRT WHITE - SIZE: XL,00-50003487,,Nos.,Inventory Item,Cost of Materials
POLO T-SHIRT WHITE - SIZE: XXL,00-50003488,,Nos.,Inventory Item,Cost of Materials
Upholstery,00-00000039,,,,
FABRIC - 16515 - 241121 - 567 ,00-00000061,,Mtr,Inventory Item,
FABRIC - INTEGRA - 29 CAMOUFLAGE - FABRIC LIBRARY,00-50003272,,Mtr,Inventory Item,Cost of Materials
FABRIC - SIT OUT - 07-COIN (FIBRE GUARD),00-50002899,,Mtr,Inventory Item,Cost of Materials
HARD FOAM 20KG 200X100X1.5CM,00-50002876,,Nos,Inventory Item,Cost of Materials
HARD FOAM 20KG 200X100X2CM,00-50003273,,Nos,Inventory Item,Cost of Materials
HARD FOAM 3CM 20KG,00-50003654,,Nos.,Inventory Item,
HARD FOAM 40KG 200X100X10CM,00-50003380,,Nos,Inventory Item,Cost of Materials
HARD FOAM 40KG 200X100X5CM,00-50003608,,Nos,Inventory Item,Cost of Materials
HARD FOAM 5CM 20KG,00-50003653,,Nos.,Inventory Item,
SOFT FOAM 20KG 200X100X5CM,00-50003382,,Nos,Inventory Item,Cost of Materials
SOFT FOAM 40KG 200X100X10CM,00-50002875,,Nos,Inventory Item,Cost of Materials
ZIP NO-5 WHITE,00-50003643,,LM,Inventory Item,Cost of Materials
Veneer,00-50002647,,,,
AMERICAN WALNUT VENEER - QUARTER CUT,00-50003940,,Sqm,Inventory Item,Cost of Materials
ASH VE CROWN CUT 2600X250,00-50003783,,Sqm,Inventory Item,
IROKO VENEER - CROWN CUT 2.5 LENGTH - AAA GRADE,00-50002891,,Sqm,Inventory Item,Cost of Materials
IROKO VENEER - CROWN CUT 3 LENGTH - AAA GRADE,00-50003639,,Sqm,Inventory Item,Cost of Materials
MAPLE VENEER - CROWN CUT 3.0 LENGTH - AAA GRADE,00-50003523,,Sqm,Inventory Item,Cost of Materials
OAK BURL VENEER V047 - ALZAN,00-50003941,,Sqm,Inventory Item,Cost of Materials
OAK VENEER - CROWN CUT 3 MTR LENGTH - AAA GRADE,00-50003845,,Sqm,Inventory Item,Cost of Materials
OAK VENEER - CROWN CUT 3.5 LENGTH - AAA GRADE,00-50003397,,Sqm,Inventory Item,Cost of Materials
OAK VENEER - QUARTER CUT 2.5 LENGTH - AAA GRADE,00-50002648,,Sqm,Inventory Item,Cost of Materials
OAK VENEER - QUARTER CUT 3.1 LENGTH - AAA GRADE,00-50002825,,Sqm,Inventory Item,Cost of Materials
RECON OAK VENEER - QUARTER CUT ,00-50003458,,Sqm,Inventory Item,Cost of Materials
RECON VENEER CROWN CUT FKK3031-FRITZ KOHL,00-50003740,,SHEET,Inventory Item,
RECON VENEER CROWN CUT FKK9141-FRITZ KOHL,00-50003645,,Sqm,Inventory Item,
RECON VENEER QUATER CUT ALZAN(RV-160),00-50003739,,SHEET,Inventory Item,
RECON WALNUT VE CROWN CUT ALZAN-RV015,00-50003742,,Sqm,Inventory Item,
WALNUT VENEER - CROWN CUT 2.5 LENGTH - AAA GRADE,00-50003265,,Sqm,Inventory Item,Cost of Materials
WALNUT VENEER - CROWN CUT 3.1 LENGTH - AAA GRADE,00-50002872,,Sqm,Inventory Item,Cost of Materials
WALNUT VENEER - CROWN CUT 3.3 LENGTH - AAA GRADE,00-50004026,,Sqm,Inventory Item,Cost of Materials
WALNUT VENEER RECON - CROWN CUT,00-50003062,,Sqm,Inventory Item,Cost of Materials
WHITE OAK VENEER - CROWN CUT ,00-50003249,,Sqm,Inventory Item,Cost of Materials
WHITE OAK VENEER - CROWN CUT 2.4 LENGTH - AAA GRADE,00-50002886,,Sqm,Inventory Item,Cost of Materials
WHITE OAK VENEER QUARTER CUT,00-50003647,,Sqm,Inventory Item,
Veneer Pressed,00-00000073,,,,
18MMX6X12 MDF MR O/S BOOK MATCHED BURL VENEER,00-00000140,,SHEET,Inventory Item,
 Installation Of Kitchen Counter Top Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003418,,LM,Service,
0.5 HP WATER PUMP RR,00-50004039,,Nos,Inventory Item,
06MM SILVER BELGIUM MIRROR GLASS WITH ALL EDGE POLISH (AGC),00-50003504,,Nos,Inventory Item,
06MM THK ARCH TYPE MIRROR,00-50002202,,Nos.,Inventory Item,Cost of Materials
06MM X 4 X 8 MDF NORMAL MELAMINE B/S SF-123 - EMILAM,00-50000754,,SHEET,Inventory Item,Cost of Materials
1 DOOR FITTINGS STRAIGHTAWAY 100 HCN01210,00-50004018,,Set,Inventory Item,
"1.5 HP MOTOR, 2800 RPM, 1 PHASE FOR AIR COMPRESSOR",00-50003534,,Nos,Inventory Item,Cost of Materials
10MM CABLE LUGS,00-50004037,,PCS,Inventory Item,
"10mm Thk X 350mm X 350mm, with 8"" Dia X 400mm Height, Black Powder Coated",00-50003881,,Nos,Inventory Item,
16A Industrial socket outlet,SR-0000034,,Nos.,Service,
"2 HP MOTOR, 2800 RPM, 1.5KW, 1 PHASE FOR AIR COMPRESSOR",00-50003874,,Nos,Inventory Item,Cost of Materials
22MMX1MM PVC LIPPING - FB-13491-FC BIRMANIA - KALLEGRA,00-50003538,,LM,Inventory Item,Cost of Materials
22MMX1MM PVC LIPPING (5254A194) TOP LINE,00-50003313,,LM,Inventory Item,
22MMX1MM PVC LIPPING (H3700-ST10) EGGER,00-50003571,,LM,Inventory Item,Cost of Materials
22MMX1MM PVC LIPPING (P1027T-02) UNILAM,00-50000334,,Roll,Inventory Item,
22MMX1MM PVC LIPPING (SF123- EMILAM)100MTR,00-50000335,,Roll,Inventory Item,Cost of Materials
3MM THK STAINLESS STEEL PIPE 40MM DIA,00-50001644,,Mtr,Inventory Item,Cost of Materials
433.07.503 - 400mm Length Concealed/Bottom Mounted Drawer Runner with Soft and Self Closing Function - HAFELE,00-50003854,,Pair,Inventory Item,
4X8X0.7MM  HPL LAMINATE SF1804 EMILAM,00-50001819,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE ASD-1039 - ALZAN,00-50003808,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE ASD-1075 - ALZAN,00-50003807,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE ASD-1105 - ALZAN,00-50003809,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE ASD-1115 - ALZAN,00-50003810,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE FB-13491-FC BIRMANIA - KALLEGRA,00-50003537,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE MASTIC MF-125 EMILAM,00-50003286,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 30305 GRN-SKYDECOR,00-50003674,,SHEET,Inventory Item,
4X8X0.8MM LAMINATE SDL 30308 SKR VINTAGE TEAK - SKYDECOR,00-50003638,,SHEET,Inventory Item,
4X8X0.8MM LAMINATE SDL 30309 SUD WHEAT WALNUT - SKYDECOR,00-50002956,,SHEET,Inventory Item,
4X8X0.8MM LAMINATE SDL-10121 SUD -SKYDECOR,00-50003287,,SHEET,Inventory Item,
4X8X0.8MM LAMINATE SDL-10127 SSR -SKYDECOR,00-50003636,,SHEET,Inventory Item,
4X8X0.8MM LAMINATE SF-1138 EMILAM,00-50003214,,SHEET,Inventory Item,Cost of Materials
4X8X03MM PLAIN MDF - MADE IN THAILAND,00-50002778,,SHEET,Inventory Item,
4X8X06MM PLAIN MDF - MADE IN THAILAND,00-50002777,,SHEET,Inventory Item,
4X8X09MM  MR MDF WITH 1/S MELAMINE (CODE: SDL-10202),00-50003118,,SHEET,Inventory Item,Cost of Materials
4X8X12MM  MR MDF WITH  2/S MELAMINE P1019 T-02 UNILAM,00-50000930,,SHEET,Inventory Item,
4X8X12MM MDF WITH 2/S MELAMINE W-2036-T09 UNILAM,00-50000679,,SHEET,Inventory Item,
4X8X12MM PLAIN MDF - MADE IN THAILAND,00-50002756,,SHEET,Inventory Item,
4X8X12MM PLAIN MDF - MADE IN THAILAND,00-50002776,,SHEET,Inventory Item,Cost of Materials
4X8X18MM  MR MDF WITH 2/S MELAMINE (CODE: SDL-10202),00-50003117,,SHEET,Inventory Item,Cost of Materials
4X8X18MM  NORMAL MDF WITH  2/S MELAMINE (Al SAMA SF1260K ALMOND),00-50000952,,SHEET,Inventory Item,
4X8X18MM MDF WITH 2/S MELAMINE W-2036-T09 UNILAM,00-50000279,,SHEET,Inventory Item,
4X8X18MM MR MDF - MADE IN THAILAND,00-50000839,,SHEET,Inventory Item,
4X8X18MM PLAIN MDF - MADE IN THAILAND,00-50000029,,SHEET,Inventory Item,Cost of Materials
4X8X3MM  PLAIN MDF- THAILAND,00-50000953,,SHEET,Inventory Item,Cost of Materials
4X8X3MM PLAIN MDF - MADE IN THAILAND,00-50003093,,SHEET,Inventory Item,Cost of Materials
4X8X5MM  BEND  PLY HORIZONTAL,00-50003135,,SHEET,Inventory Item,Cost of Materials
4X8X5MM  BEND  PLY VERTICAL,00-50003134,,SHEET,Inventory Item,Cost of Materials
4X8X6MM  BEND  PLY VERTICAL,00-50000932,,SHEET,Inventory Item,
4X8X6MM BEND PLY HORIZONTAL AND VERTICAL,00-50003391,,SHEET,Inventory Item,Cost of Materials
4X8X6MM MELAMINE B/S LAM-1,00-50003669,,SHEET,Inventory Item,
4X8X6MM MR MDF-MADE IN THAILAND,00-50000353,,SHEET,Inventory Item,
4X8X6MM NORMAL MDF WITH 2/S MELAMINE,00-50000860,,SHEET,Inventory Item,Cost of Materials
4X8X9MM  NORMAL MDF WITH 2/S MELAMINE  (AL SAMA SF1260K ALMOND),00-50002410,,SHEET,Inventory Item,Cost of Materials
4X8X9MM PLAIN MDF - MADE IN THAILAND,00-50000030,,SHEET,Inventory Item,Cost of Materials
54mm x 915mm x 2135mm 60 Minutes Fire Rated Chipboard -AXIS Core FD60,00-50001647,,SHEET,Inventory Item,
54mm x 915mm x 2135mm 60 Minutes Fire Rated Chipboard -FIREBAN FD60,00-50002937,,SHEET,Inventory Item,
6 MM BELGIUM MIRROR WITH ALL EDGE POLISH (AGC),00-50000298,,LS,Service,
64mm x 1045mm x 2155mm 90 Minutes Fire Rated Chipboard - AXIS Core FD90,00-50001649,,SHEET,Inventory Item,
6MM THK BELGIUM MIRROR WITH ALL EDGE POLISH,00-50002427,,Nos.,Inventory Item,
6X12X18MM  MR MDF - JUMBO,00-50000944,,SHEET,Inventory Item,
A TYPE HINGES-  FGV,00-50000926,,Nos,Inventory Item,
ADJUSTABLE LEG 27-64MM BLACK,00-50003786,,Nos.,Inventory Item,
Air Ticket,00-50000819,,Nos,Service,
"ALDROP 10"" GOLD FINISH",00-50002332,,Nos,Inventory Item,
ALUMINIUM  SLIDING RAIL (TOP) S/A 180/250 FOR S/C (6M),00-50003369,,Mtr,Inventory Item,
ALUMINIUM PROFILE L TYPE,00-50002333,,Nos,Inventory Item,
ALUMINIUM SLIDING RAIL (TOP) SYSTEM 130 HCN13060,00-50003373,,Mtr,Inventory Item,
"ALUMINIUM U PROFILE SS FINISH,10MMX10MMX1.2MM THICK,3.6MTR LENGTH",00-50000273,,Nos,Inventory Item,
ALUMINIUM VENTILATION GRIL 600X500 MM - WHITE ,00-50003630,,Nos,Inventory Item,
Angle Valve,00-50000167,,No.,Inventory Item,
ARABIAN MAJLIS CARPET 5MTR X 5MTR - FOR TENT ,00-50003877,,Nos,Inventory Item,
ARABIAN MAJLIS TENT WITH SEATING 5MTR X 5MTR,00-50003876,,Nos,Inventory Item,
ARM SLEEVES,00-50000773,,Pair,Inventory Item,Cost of Materials
ARMORED CABLE,00-50002454,,Mtr,Inventory Item,
Artificial Paradaise Tree with pot and white stones Height: 1.5 M,00-50002295,,Pcs,Service,
ARTISTIC BRUSH,00-50000697,,box,Inventory Item,
ASMACO GOLD UNIVERSAL MULTIFOAM FIRE RETARDANT B2,00-50003999,,Box,Inventory Item,
ASSEMBLE OF KITCHEN,00-50003218,,LM,Service,
ASSEMBLE OF VANITY,00-50004032,,LM,Inventory Item,
ASSEMBLING AND INSTALLATION OF KITCHEN CABINET - TALL UNIT,00-50003294,,Unit,Inventory Item,
ASSEMBLING AND INSTALLATION OF KITCHEN CABINET - TALL UNIT,00-50003297,,Unit,Service,
ASSEMBLING KITCHEN CABINET - BASE UNIT,00-50003290,,RM,Service,
ASSEMBLING KITCHEN CABINET - WALL UNIT,00-50003295,,RM,Service,
ASSEMBLING KITCHEN CABINET-TALL UNIT,00-50003292,,RM,Inventory Item,
ASSEMBLING OF WARDROBE,00-50003318,,Sqm,Inventory Item,
AUTOMATIC FEEDING SIX-ROW DRILLING MACHINE,00-50003288,,Nos,Inventory Item,
Automatic high speed edge banding machine(Bevel edgebander):HD782,00-50003942,,Nos,Inventory Item,
AUTOMATIC PUMP CONTROLLER RR,00-50004040,,Nos,Inventory Item,
B TYPE HINGES-  FGV,00-50000903,,Nos,Inventory Item,
BACKING VENEER,00-50000867,,Sqm,Inventory Item,
BARCODE SCANNER ,00-50002409,,Set,Inventory Item,Cost of Materials
Basin Mixer,00-50000169,,No.,Inventory Item,
BATTERY 100AMP FOR GENERATOR,00-50001179,,Nos,Inventory Item,Other Operating Expenses
BEECH VENNER - CROWN CUT,00-50000768,,m2,Inventory Item,Cost of Materials
BEECH VENNER - QUARTER CUT,00-50003109,,m2,Inventory Item,Cost of Materials
Beech Wood,00-50000336,,CFT,Inventory Item,
BLADE FOR CNC - 602501 H37,00-50004021,,Nos,Inventory Item,Cost of Materials
BLADE FOR CNC - HW TM 405-0 602501 H36,00-50000787,,Nos,Inventory Item,Cost of Materials
BLADE FOR F9 - 250 X 3.0 X 80T LH/RH,00-50004041,,Nos,Inventory Item,Cost of Materials
BOTTOM GUIDE FOR FA-75 HCN44353,00-50003376,,Nos,Inventory Item,
BOTTOM U CHANNEL ALU MF 25X25MM 3M HC44-2-10MF,00-50003372,,Mtr,Inventory Item,
BROOKLYN 60 M-XP IB ID PLUS KITCHNE SINK #115100023,00-50003842,,Nos,Inventory Item,
BROWN PAPER ROLL 90CM,00-50000272,,Roll,Inventory Item,
C376A A/Y CATALYST FOR PU @35% - ICA,00-50003329,,Litre,Inventory Item,
CABINET HANGER WALL UNIT L/R-HAFELE,00-50003690,,Pair,Inventory Item,
CABLE GLADING,00-50002456,,LS,Inventory Item,
